Pot,Treatment,Ammendment,Rep,Compost,Vermiculite,Inoculum,Em.num,Start,P.Date,E.Date,cut_plants,P.Days,E.Days,Notes,Em.Count
RSA5,RSA,RS,5,Sterile,None,Algae,2,2/7/2022,,,,NA,NA,,
RSB1,RSB,RS,1,Sterile,None,Biocrust,2,2/7/2022,,,,NA,NA,,
RSB2,RSB,RS,2,Sterile,None,Biocrust,2,2/7/2022,,,,NA,NA,,
RSB3,RSB,RS,3,Sterile,None,Biocrust,2,2/7/2022,,,,NA,NA,,
RSB4,RSB,RS,4,Sterile,None,Biocrust,2,2/7/2022,,,,NA,NA,,
RSB5,RSB,RS,5,Sterile,None,Biocrust,2,2/7/2022,,,,NA,NA,,
RVCN1,RVCN,RVC,1,Compost,Vermiculite,None,2,2/7/2022,2/17/2022,,x,10,NA,,1
RVCN2,RVCN,RVC,2,Compost,Vermiculite,None,2,2/7/2022,2/19/2022,,x,12,NA,,1
RVCN3,RVCN,RVC,3,Compost,Vermiculite,None,2,2/7/2022,2/24/2022,2/27/2022,,17,20,,1
RVCN4,RVCN,RVC,4,Compost,Vermiculite,None,2,2/7/2022,,,,NA,NA,,
RVCN5,RVCN,RVC,5,Compost,Vermiculite,None,2,2/7/2022,,,,NA,NA,,
RVCA1,RVCA,RVC,1,Compost,Vermiculite,Algae,2,2/7/2022,,2/24/2022,x,NA,17,,1
RVCA2,RVCA,RVC,2,Compost,Vermiculite,Algae,2,2/7/2022,,2/27/2022,,NA,20,,1
RVCA3,RVCA,RVC,3,Compost,Vermiculite,Algae,2,2/7/2022,,,,NA,NA,,
RVCA4,RVCA,RVC,4,Compost,Vermiculite,Algae,2,2/7/2022,2/13/2022,2/21/2022,,6,14,,1
RVCA5,RVCA,RVC,5,Compost,Vermiculite,Algae,2,2/7/2022,,2/19/2022,x,NA,12,,1
RVCB1,RVCB,RVC,1,Compost,Vermiculite,Biocrust,2,2/7/2022,2/13/2022,2/21/2022,,6,14,,1
RVCB2,RVCB,RVC,2,Compost,Vermiculite,Biocrust,2,2/7/2022,2/13/2022,2/21/2022,o,6,14,,1
RVCB3,RVCB,RVC,3,Compost,Vermiculite,Biocrust,2,2/7/2022,2/13/2022,2/21/2022,o,6,14,,1
RVCB4,RVCB,RVC,4,Compost,Vermiculite,Biocrust,2,2/7/2022,,,,NA,NA,,
RVCB5,RVCB,RVC,5,Compost,Vermiculite,Biocrust,2,2/7/2022,,,,NA,NA,,
CTRL1,Ctrl,Ctrl,1,None,None,None,2,2/7/2022,,,x,NA,NA,,1
CTRL2,Ctrl,Ctrl,2,None,None,None,2,2/7/2022,,,,NA,NA,,
CTRL3,Ctrl,Ctrl,3,None,None,None,2,2/7/2022,,,,NA,NA,,
CTRL4,Ctrl,Ctrl,4,None,None,None,2,2/7/2022,,,,NA,NA,,
CTRL5,Ctrl,Ctrl,5,None,None,None,2,2/7/2022,,,x,NA,NA,,1
RN1,RN,R,1,None,None,None,3,2/7/2022,,,,NA,NA,,
RN2,RN,R,2,None,None,None,3,2/7/2022,,,,NA,NA,,
RN3,RN,R,3,None,None,None,3,2/7/2022,,,,NA,NA,,
RN4,RN,R,4,None,None,None,3,2/7/2022,,,,NA,NA,,
RN5,RN,R,5,None,None,None,3,2/7/2022,,,,NA,NA,,
RA1,RA,R,1,None,None,Algae,3,2/7/2022,,,,NA,NA,,
RA2,RA,R,2,None,None,Algae,3,2/7/2022,,,,NA,NA,,
RA3,RA,R,3,None,None,Algae,3,2/7/2022,,,,NA,NA,,
RA4,RA,R,4,None,None,Algae,3,2/7/2022,,,,NA,NA,,
RA5,RA,R,5,None,None,Algae,3,2/7/2022,,,,NA,NA,,
RB1,RB,R,1,None,None,Biocrust,3,2/7/2022,,,,NA,NA,,
RB2,RB,R,2,None,None,Biocrust,3,2/7/2022,,,,NA,NA,,
RB3,RB,R,3,None,None,Biocrust,3,2/7/2022,,,,NA,NA,,
RB4,RB,R,4,None,None,Biocrust,3,2/7/2022,,,,NA,NA,,
RB5,RB,R,5,None,None,Biocrust,3,2/7/2022,,,,NA,NA,,
RVN1,RVN,RV,1,None,Vermiculite,None,3,2/7/2022,,,,NA,NA,,
RVN2,RVN,RV,2,None,Vermiculite,None,3,2/7/2022,,,,NA,NA,,
RVN3,RVN,RV,3,None,Vermiculite,None,3,2/7/2022,,,,NA,NA,,
RVN4,RVN,RV,4,None,Vermiculite,None,3,2/7/2022,,,,NA,NA,,
RVN5,RVN,RV,5,None,Vermiculite,None,3,2/7/2022,,,,NA,NA,,
RVA1,RVA,RV,1,None,Vermiculite,Algae,3,2/7/2022,,,,NA,NA,,
RVA2,RVA,RV,2,None,Vermiculite,Algae,3,2/7/2022,2/17/2022,,x,10,NA,,1
RVA3,RVA,RV,3,None,Vermiculite,Algae,3,2/7/2022,,,,NA,NA,,
RVA4,RVA,RV,4,None,Vermiculite,Algae,3,2/7/2022,,,,NA,NA,,
RVA5,RVA,RV,5,None,Vermiculite,Algae,3,2/7/2022,,,,NA,NA,,
RVB1,RVB,RV,1,None,Vermiculite,Biocrust,3,2/7/2022,,,,NA,NA,,
RVB2,RVB,RV,2,None,Vermiculite,Biocrust,3,2/7/2022,,,,NA,NA,,
RVB3,RVB,RV,3,None,Vermiculite,Biocrust,3,2/7/2022,2/24/2022,,x,17,NA,,1
RVB4,RVB,RV,4,None,Vermiculite,Biocrust,3,2/7/2022,,,,NA,NA,,
RVB5,RVB,RV,5,None,Vermiculite,Biocrust,3,2/7/2022,,,,NA,NA,,
RCN1,RCN,RC,1,Compost,None,None,3,2/7/2022,,,,NA,NA,,
RCN2,RCN,RC,2,Compost,None,None,3,2/7/2022,,,,NA,NA,,
